Date,beta0,beta1,beta2
2014-01-28,4.3508868811,-4.35205266737,-4.18573775719
2014-01-29,4.27321601961,-4.26895789795,-4.21658363064
2014-01-30,4.31562972207,-4.3277172067,-4.2093429064
2014-01-31,4.26546345196,-4.26997591943,-4.26551189974
2014-02-03,4.20683485154,-4.18127636156,-4.36898597309
2014-02-04,4.26377699879,-4.19998378153,-4.50569377038
2014-02-05,4.35258688619,-4.28404408657,-4.59433561405
2014-02-06,4.35833405465,-4.31839255848,-4.45920167114
2014-02-07,4.35877769729,-4.28896053935,-4.64372635738
2014-02-10,4.33567303187,-4.28188350974,-4.54280477666
2014-02-11,4.36316676233,-4.34028393029,-4.36920731423
2014-02-12,4.3943586925,-4.40170194478,-4.2634837679
2014-02-13,4.35685213469,-4.35528909888,-4.39883408685
2014-02-14,4.35755357485,-4.36946261861,-4.34143102418
2014-02-18,4.35086265789,-4.332829392,-4.47812216109
2014-02-19,4.37908774721,-4.3532399999,-4.47397976109
2014-02-20,4.39372130569,-4.39024208069,-4.36220353437
2014-02-21,4.35180951826,-4.34912924759,-4.31629724966
2014-02-24,4.36218191143,-4.36372457257,-4.2886037013
2014-02-25,4.31126690658,-4.29787862195,-4.31647330281
2014-02-26,4.27758380875,-4.25784463594,-4.344523399
2014-02-27,4.2392417287,-4.22725207926,-4.27573121614
2014-02-28,4.23241868409,-4.21913259204,-4.2161857959
2014-03-03,4.18343475297,-4.15866989313,-4.27166008831
2014-03-04,4.29533134171,-4.27730113051,-4.27443353126
2014-03-05,4.29443804041,-4.2675169416,-4.2891598139
2014-03-06,4.33580669052,-4.32248120252,-4.24360997834
2014-03-07,4.38130809377,-4.37827161227,-4.12132941374
2014-03-10,4.38645695574,-4.39191909933,-4.1476225904
2014-03-11,4.35504655097,-4.35432447413,-4.12109005384
2014-03-12,4.29803477875,-4.29830628681,-4.08623796117
2014-03-13,4.22774860936,-4.21300214794,-4.14132003
2014-03-14,4.2071684858,-4.2003582478,-4.05689558984
2014-03-17,4.25271453589,-4.24852660876,-4.02524693617
2014-03-18,4.2471856426,-4.23416447245,-4.10908051099
2014-03-19,4.25989845321,-4.28526456665,-3.54973283731
2014-03-20,4.28092275598,-4.30745374002,-3.62848610648
2014-03-21,4.20111908621,-4.24163863727,-3.45369851955
2014-03-24,4.14918015325,-4.20120350198,-3.26777786881
2014-03-25,4.17156383805,-4.22685033732,-3.31071131175
2014-03-26,4.13678989314,-4.18487133106,-3.39342249426
2014-03-27,4.08647569891,-4.15769268065,-3.25224305224
2014-03-28,4.12742967152,-4.20210926408,-3.22124254394
2014-03-31,4.15279440331,-4.21407459235,-3.34232260957
2014-04-01,4.20257768808,-4.27447703211,-3.38000595433
2014-04-02,4.25558439819,-4.34821253453,-3.29562640518
2014-04-03,4.22546205661,-4.31968978409,-3.25902730203
2014-04-04,4.18991781612,-4.26019328497,-3.44241797683
2014-04-07,4.15879590586,-4.22077323979,-3.4785223835
2014-04-08,4.13255413079,-4.18897493193,-3.47035546527
2014-04-09,4.18494410948,-4.23733238801,-3.6447987953
2014-04-10,4.11612692941,-4.15534041165,-3.68171141724
2014-04-11,4.08088221216,-4.11666121254,-3.64641762682
2014-04-14,4.08250310259,-4.12873487312,-3.56271735435
2014-04-15,4.0419460961,-4.09696034214,-3.41817746398
2014-04-16,4.03019129388,-4.09700740331,-3.29173490399
2014-04-17,4.1064579215,-4.19787249438,-3.17927633163
2014-04-21,4.11010329113,-4.1937592938,-3.21445839186
2014-04-22,4.07521546098,-4.16998355375,-3.06778075032
2014-04-23,4.04337197483,-4.13906744757,-3.088959328
2014-04-24,4.03520202205,-4.15138414335,-3.01676774245
2014-04-25,4.01886384767,-4.11792459962,-3.05736776514
2014-04-28,4.04813373746,-4.14984336145,-3.08349683176
2014-04-29,4.07060159435,-4.16556113723,-3.12000139588
2014-04-30,4.0492669472,-4.12856670986,-3.23521649761
2014-05-01,3.97898229331,-4.0582715256,-3.17642580736
2014-05-02,3.91600231377,-4.01071492474,-2.9958579962
2014-05-05,3.96317798302,-4.05239207985,-3.04982767202
2014-05-06,3.92383134279,-4.0093980918,-2.98689818139
2014-05-07,3.94488574787,-4.02112793747,-3.12116791686
2014-05-08,4.00564812198,-4.07120488121,-3.32984463554
2014-05-09,4.02566351511,-4.09024825273,-3.36293282744
2014-05-12,4.05781126195,-4.13194122058,-3.32580622745
2014-05-13,4.01394614098,-4.07215449167,-3.39361718289
2014-05-14,3.91482516264,-3.97134070042,-3.32338899956
2014-05-15,3.86401927172,-3.92208265183,-3.29910240935
2014-05-16,3.88554016776,-3.94660354358,-3.3018400088
